text,label
I absolutely love this product!,positive
This is the worst movie I’ve ever seen.,negative
"The service was okay, nothing special.",neutral
Fantastic experience from start to end!,positive
I wouldn’t recommend it to anyone.,negative
Bad!,negative
By far one of the best ive sene,positive
This was fire,positive
You know what it was weird,negative
Enjoyed it,positive
Bola to sprostost,negative
Neskutocne krasne,positive
Uplna dokonalost,positive
Tomuto hovorim film,positive
Je to bomba,positive
Uplne hovno,negative
Totalna sracka,negative
Toto si niekam strcte,negative
Uplny otras,negative
"Nemam slov, WOW",positive
Dorucenie pomalsie nez pomalsie,negative
Neprijemny kurier,negative
Schvalujem,positive
Je to na kkt,negative
Zaujalo ma to,positive
"Wow vy ste fakt otrasny, tlieskam",negative
tlieskam,positive
Tie farby?? Nadhera,positive
