message,label
Congratulations! You've won a free ticket.,spam
"Hi, how are you?",ham
Call now to claim your prize!,spam
Let's meet for lunch tomorrow.,ham
You have been selected for a free gift.,spam
Your account has been suspended. Click here to reactivate.,spam
Are you coming to the meeting?,ham
Win a brand new car by entering this contest!,spam
Don't forget to bring your notes.,ham
Limited time offer! Buy now!,spam
See you at the party tonight.,ham
URGENT! Your loan is approved.,spam
Lunch at 1pm?,ham
You have a new voicemail.,ham
Earn $1000 per day from home!,spam
Get a reward today,spam
Check out our new products,spam
Ahoj,ham
Lunch at 3?,ham
Dinner at 7?,ham
"Hi, how can I help you?",ham
"URGENT, reply fast",spam
"Ahoj, VYHRAL SI 1000",spam
"Ahoj, napis mi prosim",ham
"Hi, when are you coming home?",ham
Please call me,ham
Hiiii,ham
Can i help you?,ham
I will get in touch,ham
There are 5 single moms in your area,spam
"5 girls have send you pictures, Click to open",spam
Ahoj ako sa mas,ham
Vymente stare auto za nove!,spam
Doprajte svojej rodine trosku pokoja,spam
ahoj ahoj ahoj ahoj ahoj ahoj ahoj,spam
hi hi hi hi hi hi hi hi hi hi hi hi hi,spam
VYHRALI STE NOVY POCITAC,spam
Mate novu zasielku,ham
nasiel by si si na mna dnes cas?,ham
Kupte si mobil,spam
Co je s24 ultra,ham
"Ahoj, kedy prides domov?",ham
